"X","logFC","AveExpr","t","P.Value","adj.P.Val","B","phrog","function.","product","annotation_method","bitscore","fident","evalue","qStart","qEnd","qLen","tStart","tEnd","tLen","annotation_source","tophit_protein","function_with_highest_bitscore_proportion","top_bitscore_proportion_not_unknown","head_and_packaging_bitscore_proportion","integration_and_excision_bitscore_proportion","tail_bitscore_proportion","moron_auxiliary_metabolic_gene_and_host_takeover_bitscore_proportion","DNA_RNA_and_nucleotide_metabolism_bitscore_proportion","connector_bitscore_proportion","transcription_regulation_bitscore_proportion","lysis_bitscore_proportion","other_bitscore_proportion","unknown_function_bitscore_proportion"
"edge_4_52",0.0943903967818394,0.725624635864757,3.93249371557517,0.000123927689312178,0.000816919624825135,0.824859911812974,"176","connector","tail terminator",NA,373,0.217,3.032e-08,0,137,142,0,131,132,"foldseek","efam_protein219194","connector",0.753,0.125,0,0.122,0,0,0.753,0,0,0,0
"edge_4_53",0.0906033080181605,0.713275252397587,3.7125559980423,0.000280980715313974,0.00139208316370383,0.0709582196112715,"117","tail","major tail protein",NA,506,0.24,3.018e-10,10,168,170,27,196,201,"foldseek","envhog_protein1564318","tail",0.917,0.032,0,0.917,0,0,0.001,0,0,0.05,0
"edge_4_54",0.0737012750137719,0.758363746506854,2.87920147134518,0.00451683290215244,0.00956981019756851,-2.43291468929207,"15994","unknown function","hypothetical protein",NA,852,0.881,1.007e-20,0,216,219,0,216,218,"foldseek","protein131614","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_4_55",0.0837824438363471,0.482714676889435,4.03630375558273,8.32171752088131e-05,0.000648083435639736,1.18639030191627,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_4_56",0.0938232552475134,0.846887075681326,3.50823684964488,0.000581722368361207,0.00216360869450424,-0.58666822573012,"9959","tail","tail length tape measure protein",NA,3918,0.973,1.515e-73,0,908,914,0,908,1000,"foldseek","protein75455_1","tail",0.976,0.001,0,0.976,0,0,0,0,0.022,0.001,0
"edge_4_58",0.0782668302421367,0.987528127980734,3.17273665482651,0.00180772154922585,0.0049346253742485,-1.6046044314344,"10156","unknown function","hypothetical protein",NA,742,0.919,5.805e-17,0,168,170,0,168,169,"foldseek","protein80088","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_4_59",0.0851457898307691,0.795323202491802,3.18075697146352,0.0017557110487033,0.00482296169317021,-1.58896661077543,"5577","tail","minor tail protein",NA,709,0.112,1.073e-13,4,391,395,22,520,524,"foldseek","envhog_protein2087400","tail",0.651,0.342,0,0.651,0.001,0.003,0.002,0,0.001,0.001,0
"edge_4_6",0.0788099034481836,0.474070763992284,4.19161381368366,4.63035861946561e-05,0.000438402910289647,1.72857143484052,"392","other","metal-dependent hydrolase",NA,1538,0.991,4.052e-39,0,225,227,16,241,242,"foldseek","protein147593","other",0.935,0.004,0,0.028,0.006,0.021,0,0,0.006,0.935,0
"edge_4_61",0.0871697640464685,0.678843975976687,3.5039182126512,0.000590566505668719,0.00218163873793747,-0.613368423963601,"17180","unknown function","hypothetical protein",NA,866,1,6.697e-22,0,159,162,0,159,161,"foldseek","protein733741","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_4_62",0.0758598145485847,0.506631721523137,3.32022940798614,0.00110903718435374,0.00343158971221692,-1.197125144495,"22750","unknown function","hypothetical protein",NA,334,0.989,6.827e-06,0,91,93,4,95,96,"foldseek","protein448380","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_4_63",0.0992268469558473,0.796068569288256,3.8614241235511,0.000167320926967465,0.000988002271171934,0.555722900279816,"5302","tail","tail protein",NA,455,0.305,1.058e-08,40,349,406,483,789,884,"foldseek","envhog_protein2188209","tail",1,0,0,1,0,0,0,0,0,0,0
"edge_4_64",0.0790376819524304,0.680602595751766,3.00183908898533,0.00315207101051653,0.00738695778184,-2.11774311159474,"1423","DNA, RNA and nucleotide metabolism","Reverse transcriptase",NA,2529,0.992,6.226e-60,0,394,396,0,394,395,"foldseek","protein359404","DNA, RNA and nucleotide metabolism",0.999,0,0,0,0.001,0.999,0,0,0,0,0
"edge_4_65",0.0801698141450826,0.564851900900459,3.70094518803587,0.000298170080610551,0.00143880704195757,0.0114395974058485,"11557","unknown function","hypothetical protein",NA,540,1,3.81e-13,0,141,143,0,141,142,"foldseek","protein631835","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_4_66",0.0778992491871883,0.49438566159348,4.10428366733111,6.72794918042142e-05,0.000562009104323244,1.3868789475974,"6015","DNA, RNA and nucleotide metabolism","single strand DNA binding protein",NA,240,0.159,0.0001743,24,125,127,20,154,192,"foldseek","envhog_protein1795493","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"edge_4_67",0.0644874527681873,0.341975652726124,4.01690306687291,0.000137902377259145,0.000883705561813111,0.773529315667727,"19698","unknown function","hypothetical protein",NA,555,0.864,1.102e-13,0,149,156,1,162,199,"foldseek","protein354183","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_4_68",0.0651720771399807,0.287356425022568,4.85416661303249,3.92273314673278e-06,0.000108752590025958,4.0591645577351,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_4_69",0.0750972592264492,0.526674743153314,3.21390975707786,0.00161040031199142,0.00452556061795433,-1.52373373054541,"435","lysis","endolysin",NA,1347,0.984,6.211e-34,0,196,199,0,196,198,"foldseek","protein167947","lysis",0.988,0.001,0,0.007,0,0,0,0,0.988,0.004,0
"edge_4_7",0.0837596541304456,0.463631324382383,4.29334988630202,3.11623703518462e-05,0.000340261747780354,2.09881954468416,"72","DNA, RNA and nucleotide metabolism","NinB/ Orf homologous recombination mediator",NA,815,1,6.52e-20,0,141,144,0,141,143,"foldseek","protein93562","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"edge_4_70",0.0847020335603773,0.481499626644741,4.10499411467452,6.5654136708198e-05,0.000553107802569711,1.40593378688816,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_4_71",0.0855415958216554,0.560417488456057,3.52594261383358,0.000548410788592168,0.00208880860916147,-0.54763775686934,"1","integration and excision","integrase",NA,1437,1,7.323e-35,0,248,250,8,256,448,"foldseek","protein365355","integration and excision",1,0,1,0,0,0,0,0,0,0,0
"edge_4_8",0.0663408495717129,0.261429618065416,4.36354640353019,4.48287877504908e-05,0.000430554622399677,1.8340590695148,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_4_9",0.0618179305289698,0.284244542857347,4.29326939602614,5.75345871547069e-05,0.00050852091773714,1.60150380091953,"12688","unknown function","hypothetical protein",NA,643,0.986,2.429e-16,0,143,147,0,143,144,"foldseek","protein551267","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_48732_18",0.0801192786775954,0.312792720488899,3.72337534311905,0.00102366776703857,0.00324272066560273,-0.880304245618289,"38431","unknown function","hypothetical protein",NA,240,0.251,0.000298,9,145,147,0,138,139,"foldseek","protein17267","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_48732_19",0.0779488462495878,0.355650509177041,3.58270113188185,0.00145857673124317,0.00419850989869628,-1.21115353284991,"28898","unknown function","hypothetical protein",NA,332,0.17,5.454e-06,2,169,179,1,178,180,"foldseek","protein254804","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_48732_20",0.0752664788148118,0.280611558380289,3.13811548657127,0.00437320069816823,0.00933634163251753,-2.24670695658587,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48732_21",0.0786242514298623,0.444989433551602,3.20533712000268,0.00371329942073742,0.00834211921589803,-2.07549468483049,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48732_22",0.0838794408116921,0.296374909341444,3.45302771041858,0.00201647415144968,0.0053223480472767,-1.52229373722034,"7067","head and packaging","terminase small subunit",NA,459,0.614,3.114e-09,0,95,98,49,144,149,"foldseek","envhog_protein106857","DNA, RNA and nucleotide metabolism",0.788,0.133,0,0,0,0.788,0,0.079,0,0,0
"edge_48732_23",0.081873779503118,0.292975865274263,3.44492057263694,0.0020575407768908,0.00540882777193418,-1.53993804256241,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48732_24",0.0809982590852299,0.378594513113079,3.80035257153185,0.000842500292737143,0.00281963496944306,-0.692266732440082,"822","lysis","amidase",NA,897,0.689,4.423e-23,0,156,158,0,163,164,"foldseek","protein759806","lysis",0.992,0,0,0.007,0,0.001,0,0,0.992,0.001,0
"edge_48732_25",0.081150265861102,0.404416490140199,3.6395445400395,0.00126453254983589,0.00377269204480885,-1.07270783574504,"199","lysis","holin",NA,273,0.216,0.000105,9,133,160,24,142,172,"foldseek","envhog_protein929231","lysis",1,0,0,0,0,0,0,0,1,0,0
"edge_48732_26",0.0748568456763001,0.340188630784043,3.14718491951315,0.00427799457517202,0.00917820021643656,-2.21648788254157,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48732_27",0.0800618600314853,0.425775143209246,3.61845670802413,0.00133337730205042,0.00391892622083842,-1.12018281270079,"9851","tail","tail fiber protein",NA,321,0.14,3.224e-06,110,223,225,562,658,1000,"foldseek","envhog_protein1949624_1","tail",0.955,0.034,0,0.955,0,0.01,0,0,0,0,0
"edge_48732_28",0.0753991549760603,0.385850407676281,3.48576148116571,0.00185862667025023,0.00503142081302504,-1.43782267452114,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48732_29",0.0698521438050912,0.435732686383206,4.17599604637924,0.000157888434996689,0.000959853642926994,0.756536162385702,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48754_8",0.088453696872793,0.253105074777297,4.6455015449117,8.84907796947346e-05,0.000667780806615285,1.41785361824484,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48755_5",0.0605335627994245,0.201792537774148,3.29408634589113,0.00223835401978496,0.00576018819179684,-1.70622085010664,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48755_6",0.0673144837500483,0.180798840320893,5.01626550405151,4.62064236513735e-06,0.000120233380755318,3.98751185727156,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48755_9",0.0562646227422618,0.257380421880468,4.46714705749383,2.21518030236153e-05,0.00027753653211318,2.45494037285506,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_48806_11",0.0686721677079644,0.370308986804467,3.28465083737812,0.00156485610687419,0.00442300977713029,-1.45811143217519,"2115","tail","tail protein",NA,307,0.288,3.261e-06,1,119,125,2,126,127,"foldseek","envhog_protein428629","tail",1,0,0,1,0,0,0,0,0,0,0
"edge_48806_4",0.0720014344387975,0.622367766322954,2.93847313588257,0.00438651678240517,0.00935455215625849,-2.37109534427034,"94","head and packaging","head maturation protease",NA,1390,0.687,7.608e-36,0,252,260,0,247,253,"foldseek","protein773693","head and packaging",0.953,0.953,0,0.001,0.001,0,0,0,0,0.045,0
"edge_48806_6",0.0764568702977116,0.340158421610165,3.73611226917876,0.000402040110996035,0.00170573165380687,-0.197197594381364,"749","unknown function","hypothetical protein",NA,473,0.619,9.185e-10,0,104,106,0,104,109,"foldseek","protein785688","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_48879_1",0.074625192894977,0.435092024250622,3.12532940373457,0.00237924969710204,0.00598102062120379,-1.85529076598737,"1197","tail","tail protein",NA,316,0.156,1.265e-05,10,229,235,113,330,332,"foldseek","envhog_protein1234038","tail",0.811,0.056,0,0.811,0.013,0,0,0,0.107,0.013,0
"edge_61_11",0.0566830808253051,0.252726041037786,3.25417593844905,0.00156303102529232,0.00442104795793609,-1.49431457393121,"379","DNA, RNA and nucleotide metabolism","DNA binding protein",NA,455,0.553,1.511e-10,0,93,94,11,102,103,"foldseek","envhog_protein1015643","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"edge_61_13",0.0522404887918853,0.280765550950121,2.97113270935118,0.00373538202819886,0.00837248185104894,-2.27963168276768,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_61_27",0.0657244698540928,0.281746104014816,3.631550375763,0.000451097993536702,0.00183490328484388,-0.355005289722008,"21297","unknown function","hypothetical protein",NA,231,0.224,0.0001032,4,61,63,2,59,62,"foldseek","protein453658","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_61_36",0.0546807637894977,0.258128751024675,3.0180446494799,0.00324522395258517,0.00755994066189239,-2.15480098229256,"1682","DNA, RNA and nucleotide metabolism","RusA-like Holliday junction resolvase",NA,637,0.581,3.14e-16,3,144,145,15,156,170,"foldseek","envhog_protein1157089","DNA, RNA and nucleotide metabolism",0.999,0,0,0,0,0.999,0,0.001,0,0,0
"edge_61_37",0.0615811346247264,0.237431743498667,3.89065030412832,0.000185884361104505,0.00105460372649856,0.464591066588216,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_61_38",0.060625041695533,0.283420550655263,3.13605115062444,0.0039406660874903,0.00868907330237855,-2.19027654999017,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_61_6",0.0631014970199228,0.303508961970308,3.97948632718672,0.000154175286007991,0.000946061227318641,0.661064672798112,"379","DNA, RNA and nucleotide metabolism","DNA binding protein",NA,299,0.346,1.362e-06,0,94,96,8,105,109,"foldseek","envhog_protein305427","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"edge_61_8",0.0537071572703067,0.214985693967423,3.12222807158855,0.00236185958932808,0.00594495114918447,-1.86934241390273,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_61_9",0.0538493908523685,0.246574189627053,3.13339146747443,0.00228181317608429,0.00581840032962394,-1.83733044653662,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_72_7",0.0734166335873566,0.251124542189203,3.68457769006406,0.000557963562232533,0.00210856011647991,-0.475532277515711,"176","connector","tail terminator",NA,669,0.65,7.158e-17,0,125,128,37,162,166,"foldseek","envhog_protein64666","connector",0.849,0.103,0,0.048,0,0,0.849,0,0,0,0
"edge_72_8",0.068381890453234,0.394253177782429,3.10761755775872,0.00229172936225617,0.00583607171143932,-1.84713621783736,"5","connector","tail completion or Neck1 protein",NA,466,0.561,5.717e-10,1,121,124,6,118,120,"foldseek","envhog_protein1951770","connector",1,0,0,0,0,0,1,0,0,0,0
"edge_72_9",0.0771519177505993,0.310285500617909,3.72029950919925,0.000300590965031748,0.00144173016234246,0.00508627808796636,"348","head and packaging","minor head protein",NA,628,0.76,1.234e-12,0,99,101,16,115,119,"foldseek","envhog_protein1475571","connector",0.77,0.229,0,0.001,0,0,0.77,0,0,0,0
"edge_75_27",0.0686955753259117,0.370764902673133,3.59990130143529,0.000427445219378576,0.00177564650643024,-0.3312046092242,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_75_28",0.0514339829278833,0.386809539303201,3.04624983739973,0.00277115643826182,0.00676605279023452,-2.01695287183962,"355","DNA, RNA and nucleotide metabolism","nucleoside 2-deoxyribosyltransferase",NA,255,0.482,2.064e-05,7,87,90,134,220,227,"foldseek","envhog_protein2090825","DNA, RNA and nucleotide metabolism",0.54,0,0.46,0,0,0.54,0,0,0,0,0
"edge_959_24",0.0849246429111174,0.330407428814558,4.00496310994513,0.000422799633594675,0.00176384607014043,-0.0869542498479801,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1001_cycle_1_19",0.0757508116844861,0.337290389266525,4.26094535481641,0.0008393160972579,0.00281379641868022,-0.484874296606938,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_10080_cycle_1_1",0.083177682616409,0.224802785693694,6.53595161804128,5.77392200855113e-09,1.41323471225414e-06,10.2995013664351,"2006","head and packaging","major head protein",NA,259,0.362,1.642e-05,8,139,167,94,228,283,"foldseek","envhog_protein1294557","head and packaging",1,1,0,0,0,0,0,0,0,0,0
"virus_comp_1019_cycle_1_2",0.0807076028006646,0.493335163250991,3.19455439683165,0.00424886588881601,0.00914598851022512,-2.16957747576621,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1019_cycle_1_4",0.0731940838531191,0.394727113428908,3.68429324045648,0.000558454176234551,0.00210856011647991,-0.465697292881928,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1019_cycle_1_5",0.104334960330727,0.464597811805406,4.23758954768114,0.000257456070587217,0.00132592616988396,0.414981836036471,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1019_cycle_1_6",0.0765957167378911,0.374755789694034,3.45463366300543,0.0025594462884552,0.00634927690805601,-1.68562543869858,"7314","unknown function","hypothetical protein",NA,279,0.402,2.046e-05,0,76,77,0,76,108,"foldseek","protein534655","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_1019_cycle_1_7",0.0757879379737201,0.354642599275214,3.59534365258436,0.00185183729697772,0.0050220101342998,-1.38072341393956,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_10304_cycle_1_3",0.0497558706860757,0.164828878452233,3.65100514216826,0.000878974982531042,0.00291426056549096,-0.829364579172764,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1044_cycle_1_1",0.0995206496181276,1.05221847292177,3.78472081827363,0.000240295796056465,0.00127106396046647,0.276387545759633,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1044_cycle_1_2",0.124120560853073,1.39057799785685,3.79709275611224,0.000226776611327543,0.00122103274611483,0.355289057310832,"1907","DNA, RNA and nucleotide metabolism","DNA polymerase",NA,1874,0.409,1.664e-42,1,547,553,9,526,616,"foldseek","protein169414","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"virus_comp_1044_cycle_1_3",0.0817546459309751,0.926558382152154,2.94558037387562,0.00388076298371943,0.00860749112271013,-2.25247324121697,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1044_cycle_1_4",0.0944535973071861,0.920996450621167,3.61189779862476,0.000445487691186597,0.00182198956718364,-0.294201909334765,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1044_cycle_1_5",0.105011595030577,1.18865449399427,3.54693581772015,0.000571037430186187,0.00214427023496427,-0.499871459896648,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1044_cycle_1_6",0.102237630954002,1.12670666598816,3.4087525533259,0.000949828457727457,0.0030761221551422,-0.955317501746529,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1045_cycle_1_1",0.0914407890607465,0.558116196020975,3.45879568399205,0.00108330253117866,0.00337959265313439,-1.04238647089815,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1045_cycle_1_2",0.115128678392945,1.17235854595202,3.89740607506569,0.00016147108076637,0.000969570590961199,0.653355259826078,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1045_cycle_1_4",0.0925231622153798,1.05744047283901,3.31300189627539,0.00124781993343424,0.00374345980030271,-1.21727056394228,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1045_cycle_1_5",0.12384856818728,0.384084684600242,4.89191290581242,9.28287696533614e-05,0.000681486460059344,1.49757107172779,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1045_cycle_1_6",0.105778622372465,0.634356356796884,3.24070642436793,0.00234830362091144,0.00592485742254044,-1.71350956123498,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_10516_cycle_1_1",0.0584564086861577,0.221244115311008,3.31590582997342,0.00118071891861995,0.00358062859029122,-1.24669228090718,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_10609_cycle_1_2",0.0613799803713807,0.158683868371321,4.73193091915014,6.99408017281103e-06,0.00014600288095516,3.51902536441417,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1068_cycle_1_1",0.0771061965731797,0.228111609854012,4.72410011354209,6.12646381545824e-06,0.000137036731951959,3.62650118365168,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1068_cycle_1_2",0.0739676919585239,0.385268335668247,3.84617440968761,0.000181760265844713,0.00104471865542857,0.462548124578968,"16615","other","peptidase",NA,354,0.468,2.442e-06,43,187,235,12,155,326,"foldseek","envhog_protein12314","tail",0.553,0,0,0.553,0,0,0,0,0,0.447,0
"virus_comp_1069_cycle_1_1",0.0765241256374859,0.510732043393531,3.43056846440268,0.000761468154208118,0.00259736388725963,-0.844131700226297,"1907","DNA, RNA and nucleotide metabolism","DNA polymerase",NA,1972,0.614,8.705e-45,1,423,425,142,569,589,"foldseek","envhog_protein707542","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"virus_comp_1069_cycle_1_2",0.0868355832859406,0.52819235254397,4.24610409413787,3.90144709062455e-05,0.000391863674771834,1.90281621743565,"2150","head and packaging","terminase",NA,673,0.302,7.158e-16,6,325,350,46,350,376,"foldseek","envhog_protein374755","head and packaging",0.992,0.992,0,0,0.001,0.001,0.005,0,0,0,0
"virus_comp_1069_cycle_1_3",0.065816577100279,0.209734206607039,3.50634040095878,0.00138381777052414,0.00404890992887638,-1.23304927602362,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_1073_cycle_1_1",0.0640084740492591,0.222009575722343,3.24744117224696,0.00170550240924549,0.00473645816839072,-1.55793308583302,"30508","unknown function","hypothetical protein",NA,389,1,2.979e-10,0,103,104,0,103,115,"foldseek","protein30937","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_1073_cycle_1_9",0.0665259938015674,0.181290180801766,4.07815564566133,9.52704400023879e-05,0.000687723050750649,1.08669907787406,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_10749_cycle_1_2",0.0641130344057704,0.319106237614112,4.07231499404531,0.000163747040065661,0.000981537241898566,0.667399878802751,"18293","other","methyltransferase",NA,537,0.507,2.065e-13,2,129,132,52,168,177,"foldseek","envhog_protein483105","other",0.997,0,0,0,0,0.003,0,0,0,0.997,0
"virus_comp_10824_cycle_1_3",0.0583239140686771,0.198668768999498,3.13391904497049,0.00229057713447042,0.00583607171143932,-1.83753611856998,"11","tail","baseplate spike",NA,272,0.252,8.149e-05,1,91,92,15,116,177,"foldseek","protein319822","tail",1,0,0,1,0,0,0,0,0,0,0
"virus_comp_10841_cycle_1_2",0.070489652665827,0.484148126391903,3.49568971620692,0.00108148193959392,0.00337660774909955,-1.0567653121252,"15610","other","protease",NA,475,0.62,4.704e-10,0,107,117,15,119,127,"foldseek","envhog_protein453160","other",1,0,0,0,0,0,0,0,0,1,0
